case_idx,file,path,kwave_time_s,kwave_error,model1_name,model1_load_tensor_mean_s,model1_load_tensor_std_s,model1_forward_mean_s,model1_forward_std_s,model1_total_mean_s,model1_total_std_s,model1_error,model2_name,model2_load_tensor_mean_s,model2_load_tensor_std_s,model2_forward_mean_s,model2_forward_std_s,model2_total_mean_s,model2_total_std_s,model2_error
0,sample_0023.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0023.npz,25.96897142380476,,U-Net Full Loss,0.02255871072411537,0.002247503015855574,0.050985058397054674,0.0003325146084733011,0.07354376912117004,0.0025312248120132985,,cGAN Full Loss 220e,0.02297179326415062,0.002405768039746021,0.050387804210186,0.00011502860154515428,0.07335959747433662,0.0024593241841452244,
1,sample_0147.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0147.npz,25.974943552166224,,U-Net Full Loss,0.022400525957345964,0.00199615367466375,0.056953614205121995,0.007156732080201166,0.07935414016246796,0.008195413496440318,,cGAN Full Loss 220e,0.0236589714884758,5.980588702712807e-06,0.050587230175733564,0.00032529701634903183,0.07424620166420937,0.0003234814928495141,
2,sample_0151.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0151.npz,25.83989304304123,,U-Net Full Loss,0.02419809252023697,0.0011417445507933357,0.051135217398405076,0.00016584063897833484,0.07533330991864204,0.0010446501337307416,,cGAN Full Loss 220e,0.024231839179992675,0.000944099574620548,0.05049388632178307,5.152354805888734e-05,0.07472572550177574,0.000935342445627929,
3,sample_0208.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0208.npz,25.04006727784872,,U-Net Full Loss,0.024132663011550905,0.0005681649453470782,0.051047719269990924,0.00014956162804092516,0.07518038228154182,0.0005333698192324492,,cGAN Full Loss 220e,0.02306191474199295,0.0016979524747987049,0.0599396638572216,0.007866364716223321,0.08300157859921456,0.009196843654564565,
4,sample_0262.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0262.npz,25.260460034012794,,U-Net Full Loss,0.023400405049324037,6.262398743767893e-06,0.051260852813720705,3.0338266011343188e-05,0.07466125786304474,3.070043223245539e-05,,cGAN Full Loss 220e,0.023800119757652283,0.00016484700235064488,0.05046408325433731,7.502725920907671e-05,0.07426420301198959,0.00022022912895365842,
5,sample_0307.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0307.npz,25.79265955835581,,U-Net Full Loss,0.023609520494937898,0.0004206270020586329,0.051154932379722594,0.00015729153630932689,0.07476445287466049,0.00026681136167590276,,cGAN Full Loss 220e,0.023791509121656416,0.0001499896508649752,0.05043537244200706,3.650160250768598e-05,0.07422688156366349,0.00017194382235725375,
6,sample_0327.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0327.npz,25.132677610963583,,U-Net Full Loss,0.023400087654590607,2.2989857551954715e-06,0.05124475285410881,3.905327639716046e-05,0.07464484050869942,3.9457491537788884e-05,,cGAN Full Loss 220e,0.0237962007522583,0.0001621760692182145,0.05048508420586586,7.811226993875891e-05,0.07428128495812417,0.00023895601379362905,
7,sample_0842.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0842.npz,25.571408852934837,,U-Net Full Loss,0.025196299701929093,0.003102722230189902,0.051168137788772584,0.0002398260036656326,0.07636443749070168,0.0029687194784715283,,cGAN Full Loss 220e,0.0243640698492527,0.0011061793978675476,0.05038748905062675,9.283986411672533e-05,0.07475155889987946,0.0010161279602591729,
8,sample_0866.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0866.npz,25.597363766282797,,U-Net Full Loss,0.024353471398353577,0.0012348526021510634,0.05094373673200607,9.616793102084386e-05,0.07529720813035964,0.0012062649155141715,,cGAN Full Loss 220e,0.023843850195407867,0.00014992070133923563,0.050468454509973525,4.515630752848327e-05,0.07431230470538139,0.00018538200574248252,
9,sample_0976.npz,/data/home/agustin/Documents/oslo/TFG Juanfe/Neuromodulation-simulations/dataset_TUS_SplitV1/test/sample_0976.npz,25.594430185854435,,U-Net Full Loss,0.024524370580911635,0.00015447904558760244,0.05088095441460609,7.819232982087994e-05,0.07540532499551773,0.00020995754558740933,,cGAN Full Loss 220e,0.023774942755699156,0.0004976389490739844,0.05044863075017929,5.690694543657007e-05,0.07422357350587845,0.00046890029448674463,
