case_idx,file,path,kwave_time_s,kwave_error,model1_name,model1_load_tensor_mean_s,model1_load_tensor_std_s,model1_forward_mean_s,model1_forward_std_s,model1_total_mean_s,model1_total_std_s,model1_error,model2_name,model2_load_tensor_mean_s,model2_load_tensor_std_s,model2_forward_mean_s,model2_forward_std_s,model2_total_mean_s,model2_total_std_s,model2_error
0,sample_0023.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0023.npz,116.35004489999938,,U-Net Full Loss,0.05834114000062982,0.06784441464128999,5.6187211199994636,1.3550596082446247,5.677062260000094,1.399063271322686,,cGAN Full Loss 220e,0.02747110000018438,0.0030066495193179403,3.9409283799999684,0.026563510593022793,3.9683994800001527,0.026340153420200095,
1,sample_0147.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0147.npz,115.29598839999926,,U-Net Full Loss,0.02704211999953259,0.0018608385802499044,5.266819780000515,2.063076129710469,5.2938619000000475,2.062056324608782,,cGAN Full Loss 220e,0.028724639999563806,0.0034847593537264713,4.1335600800004615,0.1836637629881959,4.1622847200000255,0.1847232896788007,
2,sample_0151.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0151.npz,117.05070670000077,,U-Net Full Loss,0.028501260000484762,0.006179498796698405,4.1724073800000046,0.16542261622048035,4.200908640000489,0.16916683324999426,,cGAN Full Loss 220e,0.027216219999900204,0.002338444770774034,3.9778228999999556,0.11382237135837409,4.005039119999855,0.11218388617466209,
3,sample_0208.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0208.npz,115.05022980000012,,U-Net Full Loss,0.05582430000031309,0.06021724593218342,5.10582281999923,1.1433913920887144,5.161647119999543,1.178284006356688,,cGAN Full Loss 220e,0.02638855999975931,0.002296895728629594,4.026537839999946,0.09110918529054962,4.052926399999706,0.09245975510196691,
4,sample_0262.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0262.npz,121.37389339999936,,U-Net Full Loss,0.027185260000260315,0.0023707132301222515,4.108060679999835,0.07954732625156945,4.135245940000095,0.0794830521629083,,cGAN Full Loss 220e,0.025671399999919232,0.0015070905838446675,4.095897739999782,0.13548019810766967,4.121569139999702,0.13570992127321202,
5,sample_0307.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0307.npz,115.00982309999927,,U-Net Full Loss,0.05872661999965203,0.06065389626318302,4.982437000000209,1.3986004302547657,5.041163619999861,1.4558710336806788,,cGAN Full Loss 220e,0.030658840000614872,0.0009027034854914443,4.070216999999684,0.09330218742126128,4.100875840000299,0.09310770878116262,
6,sample_0327.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0327.npz,115.326485399999,,U-Net Full Loss,0.029305919999751497,0.0034247503478299114,5.125306660000206,2.1778733765696843,5.154612579999958,2.180306042697169,,cGAN Full Loss 220e,0.03271535999992921,0.007116203107777174,4.15483834000006,0.1252115467570581,4.18755369999999,0.1225248033954187,
7,sample_0842.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0842.npz,115.06028839999999,,U-Net Full Loss,0.025867140000264043,0.0016406917064178991,5.175645219999933,2.187280077260962,5.201512360000197,2.186350135374167,,cGAN Full Loss 220e,0.03148419999961334,0.0023888439152059274,4.159543040000426,0.10962768835441829,4.1910272400000395,0.10920943595237936,
8,sample_0866.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0866.npz,115.3186493000012,,U-Net Full Loss,0.06077774000041245,0.06403215811920225,5.0208801999993735,1.9056472345402278,5.081657939999786,1.9696061845744233,,cGAN Full Loss 220e,0.029087859999708598,0.0032043267907734315,4.109613159999571,0.10256061401808862,4.13870101999928,0.10254639871921674,
9,sample_0976.npz,C:\Users\USUARIO\Desktop\UIC Bioingenieria\TFG\Neuromodulation-simulations\timetestnpz\sample_0976.npz,120.33741830000145,,U-Net Full Loss,0.02872008000013011,0.0025189253460279042,4.071967879999647,0.15302716760785254,4.100687959999777,0.15498718938852912,,cGAN Full Loss 220e,0.03213785999978427,0.0023671395437695917,4.127797360000113,0.0934868412280161,4.159935219999897,0.09372459065619276,
